Raw_Turbidity,Raw_Colour,Raw_PH,PAC,KMnO4,ACD,Turbidity_class
56.22,302.0,7.55,3.0,0.17,0.37,low
35.0,321.0,6.89,3.0,0.6,0.75,low
418.2,500.0,6.65,7.0,0.7,0.3,high
34.5,302.0,6.99,3.5,0.8,0.35,medium
43.1,300.0,6.71,3.0,0.5,0.35,low
70.3,500.0,7.52,3.0,0.19,0.25,low
65.1,500.0,6.91,3.5,0.35,0.45,high
37.6,480.0,6.76,3.0,0.3,0.35,medium
21.9,300.0,7.0,3.0,0.25,0.35,medium
210.0,500.0,6.31,0.2,0.2,0.35,high
110.0,500.0,6.85,2.5,0.3,0.55,high
308.0,500.0,6.99,4.5,0.5,0.75,high
27.1,199.0,7.55,2.0,0.22,0.2,low
5.31,500.0,6.9,4.0,0.52,0.75,high
29.1,400.0,6.85,2.0,0.4,0.3,high
55.1,500.0,6.65,3.5,0.3,0.4,medium
15.5,156.0,7.29,1.0,0.2,0.15,low
62.6,500.0,6.88,3.5,0.6,0.35,high
105.0,500.0,6.99,5.5,0.5,0.75,medium
168.0,500.0,7.05,4.0,0.4,0.75,high
21.9,317.0,6.6,2.5,0.3,0.35,low
23.0,410.0,6.99,4.5,0.5,0.3,high
19.8,172.0,7.61,1.5,0.12,0.2,low
210.0,500.0,7.45,2.5,0.18,0.25,low
39.1,500.0,6.99,5.0,0.5,0.75,medium
155.4,500.0,7.54,4.0,0.26,0.27,low
142.5,500.0,7.45,4.5,0.35,0.35,low
59.9,500.0,7.12,5.0,0.35,0.45,high
492.0,500.0,6.59,6.0,0.5,0.75,medium
121.2,500.0,7.12,4.0,0.5,0.4,high
195.5,300.0,7.49,4.5,0.17,0.25,high
137.2,500.0,7.11,4.5,0.4,0.75,high
27.2,420.0,6.99,4.5,0.42,0.6,medium
95.4,500.0,7.57,3.5,0.27,0.25,high
74.5,500.0,6.85,3.5,0.5,0.6,medium
450.0,500.0,6.9,5.0,0.52,0.75,high
19.5,192.0,7.42,2.0,0.12,0.5,low
35.1,190.0,7.38,2.5,0.2,0.12,low
74.5,500.0,6.85,4.0,0.5,0.6,low
29.2,342.0,7.1,2.5,0.42,0.45,high
18.9,175.0,7.25,1.5,0.15,0.3,low
65.1,391.0,6.65,3.5,0.4,0.35,medium
4.1,152.0,7.52,0.6,0.12,0.15,high
195.5,300.0,7.49,4.0,0.17,0.25,high
109.2,500.0,7.01,4.5,0.42,0.5,high
18.1,294.0,6.35,4.0,0.5,0.75,medium
221.2,500.0,6.58,4.5,0.6,0.3,medium
18.0,184.0,6.82,1.5,0.37,0.55,medium
49.0,415.0,6.89,3.0,0.42,0.6,medium
45.3,500.0,6.25,2.5,0.45,0.65,high
79.6,493.0,7.32,3.0,0.45,0.75,medium
41.7,235.0,7.45,2.5,0.25,0.15,low
19.1,276.0,6.52,4.5,0.5,0.75,medium
42.5,386.0,7.02,5.0,0.45,0.75,medium
38.3,282.0,6.62,5.0,0.5,0.4,high
84.5,500.0,6.89,4.5,0.5,0.75,medium
162.3,500.0,6.89,5.0,0.6,0.3,high
39.2,372.0,6.88,4.0,0.5,0.65,high
221.2,500.0,6.58,4.0,0.6,0.3,high
106.0,188.0,7.41,0.5,0.15,0.16,low
211.0,500.0,6.85,2.5,0.75,0.35,high
25.2,130.0,7.55,0.5,0.12,0.16,low
271.0,198.0,7.4,4.0,0.4,0.45,low
19.1,289.0,6.82,2.0,0.6,0.75,medium
350.0,190.0,7.55,4.5,0.32,0.35,low
491.0,500.0,7.26,6.0,0.4,0.75,high
13.2,199.0,7.44,1.5,0.22,0.25,low
40.0,500.0,6.87,3.5,0.4,0.75,medium
22.1,300.0,7.45,1.0,0.12,0.2,low
22.1,179.0,7.42,2.5,0.2,0.15,low
28.1,180.0,6.88,3.5,0.15,0.3,low
188.0,500.0,6.82,5.0,0.5,0.75,medium
418.2,500.0,6.65,6.0,0.7,0.3,high
115.0,500.0,7.12,6.5,0.4,0.7,high
381.4,500.0,7.55,5.5,0.15,0.25,medium
152.0,500.0,6.88,6.0,0.45,0.75,high
14.21,142.0,7.52,0.8,0.12,0.1,low
164.0,500.0,7.0,3.0,0.65,0.35,high
32.1,200.0,7.01,2.5,0.2,0.65,medium
37.1,181.0,6.75,2.0,0.15,0.3,high
36.2,250.0,7.58,0.5,0.12,0.16,low
53.1,210.0,7.09,2.5,0.5,0.65,high
72.7,123.0,7.49,2.5,0.1,0.3,high
112.6,500.0,7.48,5.0,0.22,0.3,low
4.1,152.0,7.52,0.2,0.12,0.15,high
21.6,188.0,7.06,4.0,0.25,0.35,medium
70.3,500.0,7.52,2.5,0.19,0.25,low
14.3,190.0,7.5,2.5,0.17,0.25,low
497.0,500.0,6.69,6.0,0.47,0.8,high
201.0,500.0,6.89,3.0,0.5,0.7,high
69.2,258.0,6.75,5.0,0.5,0.35,high
82.4,500.0,7.66,3.0,0.12,0.1,medium
33.1,310.0,6.78,3.5,0.55,0.3,medium
89.1,500.0,6.91,3.0,0.4,0.3,high
49.0,180.0,7.51,2.5,0.1,0.12,low
37.5,186.0,7.46,3.0,0.15,0.18,low
63.2,394.0,7.02,6.0,0.5,0.75,high
34.5,302.0,6.99,5.0,0.8,0.35,high
15.6,166.0,7.54,2.5,0.17,0.25,low
271.0,198.0,7.4,5.0,0.4,0.45,medium
210.0,500.0,6.39,2.5,0.42,0.75,high
96.2,500.0,7.48,4.0,0.3,0.35,high
44.1,450.0,7.0,5.0,0.6,0.35,high
245.4,400.0,7.52,3.0,0.17,0.25,medium
57.4,223.0,7.46,2.5,0.17,0.25,medium
0.0,0.0,0.0,0.0,0.0,0.0,
22.0,390.0,7.44,1.5,0.19,0.25,medium
35.2,250.0,7.5,0.5,0.19,0.16,low
67.0,484.0,6.82,4.5,0.5,0.75,low
83.3,300.0,7.55,3.0,0.16,0.25,low
12.5,199.0,7.99,2.5,0.9,3.0,low
200.0,500.0,6.85,4.0,0.5,0.35,medium
46.1,356.0,6.72,2.5,0.7,0.3,medium
34.5,302.0,6.99,3.0,0.8,0.35,high
29.2,364.0,6.92,3.5,0.4,0.75,medium
400.0,500.0,6.99,5.5,0.4,0.75,medium
47.4,200.0,7.69,2.0,0.12,0.3,low
75.4,43.0,6.76,4.0,0.5,0.4,medium
29.5,195.0,7.51,2.0,0.2,0.15,low
26.11,150.0,7.46,2.5,0.11,0.12,low
67.2,410.0,6.51,2.0,0.5,0.35,medium
147.0,500.0,7.49,5.0,0.27,0.2,low
31.1,220.0,6.99,2.5,0.15,0.3,high
21.6,179.0,7.43,1.5,0.12,0.15,low
238.6,500.0,6.75,5.0,0.7,0.35,medium
10.2,166.0,7.48,0.5,0.45,3.0,low
73.1,390.0,6.9,2.5,0.7,0.3,medium
188.0,500.0,6.82,4.5,0.5,0.75,high
48.1,329.0,7.01,3.5,0.7,0.3,medium
41.2,20.0,6.52,4.0,0.2,0.35,medium
84.8,33.0,6.79,4.5,0.35,0.4,high
180.0,500.0,6.91,3.0,0.3,0.35,high
13.0,167.0,7.52,3.0,0.12,0.15,low
67.2,410.0,6.51,3.0,0.5,0.35,medium
45.4,500.0,7.51,2.5,0.28,0.35,low
53.0,500.0,6.99,3.5,0.5,0.35,medium
25.7,222.0,7.49,2.5,0.19,0.25,medium
11.0,180.0,7.41,0.5,0.24,0.25,high
61.4,397.0,6.2,4.5,0.5,0.35,medium
85.9,500.0,6.67,6.5,0.5,0.4,high
480.0,500.0,7.01,4.5,0.45,0.75,high
17.0,149.0,7.52,2.0,0.17,0.25,low
32.52,180.0,7.46,3.0,0.11,0.21,low
33.6,289.0,6.81,3.0,0.6,0.3,high
147.0,500.0,7.49,6.0,0.27,0.2,high
56.2,210.0,6.69,4.0,0.5,0.35,medium
105.0,500.0,6.99,5.0,0.5,0.75,medium
14.5,150.0,7.35,1.0,0.12,0.15,low
62.6,500.0,6.88,5.0,0.6,0.35,medium
29.1,400.0,6.85,3.0,0.4,0.3,high
17.8,282.0,6.8,2.0,0.6,0.65,high
75.4,43.0,6.76,4.5,0.5,0.4,high
162.0,500.0,6.76,4.0,0.4,0.45,medium
494.6,500.0,6.52,5.0,0.6,0.35,high
84.8,33.0,6.79,4.0,0.35,0.4,medium
28.2,220.0,6.82,4.0,0.35,0.3,medium
79.1,350.0,6.81,2.5,0.35,0.4,medium
69.5,495.0,6.85,1.5,0.4,0.75,medium
72.8,500.0,6.85,4.0,0.35,0.3,high
72.8,500.0,6.82,2.5,0.5,0.35,low
67.2,500.0,6.76,3.5,0.25,0.4,medium
35.0,321.0,6.89,2.5,0.6,0.75,medium
31.6,206.0,6.82,4.5,0.5,0.3,high
49.1,360.0,7.0,2.0,0.2,0.25,high
33.9,195.0,7.56,2.0,0.24,0.15,low
162.0,500.0,7.76,3.0,0.3,0.5,high
83.1,430.0,7.36,2.0,0.2,0.3,low
62.1,500.0,7.01,4.0,0.3,0.45,low
390.0,500.0,6.55,3.5,0.4,0.45,high
31.0,330.0,6.97,3.0,0.42,0.75,high
17.5,273.0,6.76,4.0,0.6,0.75,medium
17.6,170.0,6.91,2.5,0.2,0.25,medium
125.0,500.0,7.45,3.5,0.12,0.25,low
42.1,405.0,6.6,3.5,0.25,0.35,medium
211.0,500.0,6.85,3.0,0.75,0.35,high
32.6,342.0,6.81,5.0,0.65,0.3,medium
23.8,216.0,6.92,3.0,0.15,0.3,low
142.5,500.0,7.45,5.0,0.35,0.35,medium
26.7,243.0,7.86,3.0,0.18,0.2,low
139.1,500.0,6.99,5.0,0.4,0.4,high
13.2,199.0,7.44,2.5,0.22,0.25,low
35.2,387.0,7.09,3.5,0.45,0.75,low
311.0,500.0,6.89,3.0,0.7,0.35,high
19.3,210.0,6.56,3.0,0.24,0.35,low
128.0,200.0,7.52,2.0,0.19,0.25,high
12.6,500.0,6.77,4.0,0.5,0.55,low
22.02,160.0,7.58,2.0,0.18,0.25,low
73.1,390.0,6.9,4.5,0.7,0.3,medium
19.7,325.0,6.89,2.5,0.35,0.5,high
20.4,166.0,7.42,3.5,0.12,0.2,high
22.1,500.0,7.35,3.0,0.15,0.35,medium
411.5,500.0,7.55,5.0,0.27,0.29,low
34.5,288.0,6.79,3.0,0.35,0.3,medium
147.9,500.0,7.48,3.5,0.29,0.4,high
160.0,500.0,6.61,7.5,0.5,0.5,high
79.6,500.0,7.01,4.0,0.4,0.75,medium
28.8,182.0,7.38,2.5,0.11,0.15,medium
271.1,500.0,6.78,3.5,0.75,0.35,high
69.5,482.0,7.25,4.5,0.4,0.75,high
67.8,420.0,6.91,4.0,0.4,0.35,medium
25.7,202.0,7.45,4.0,0.22,0.3,medium
54.4,420.0,6.91,4.0,0.3,0.35,high
23.2,298.0,6.99,3.0,0.25,0.35,low
16.0,196.0,7.56,1.0,0.12,0.15,medium
200.0,500.0,6.32,3.5,0.2,0.35,high
327.0,500.0,6.92,5.0,0.4,0.6,high
155.4,500.0,7.54,6.0,0.26,0.27,low
22.0,320.0,7.0,2.0,0.42,0.75,medium
12.02,225.0,7.49,1.0,0.43,0.5,low
63.1,390.0,6.91,3.5,0.3,0.45,high
15.2,181.0,7.41,2.5,0.12,0.2,low
19.6,206.0,6.77,5.0,0.75,0.3,medium
52.8,500.0,6.52,2.5,0.4,0.35,high
22.21,192.0,7.52,2.0,0.11,0.15,low
24.92,160.0,7.35,3.0,0.19,0.25,low
22.1,124.0,7.41,1.0,0.11,0.19,low
61.4,397.0,6.2,3.0,0.5,0.35,medium
18.4,182.0,7.52,2.5,0.15,0.25,low
123.0,89.0,7.12,7.0,0.65,0.35,medium
101.0,500.0,6.91,4.5,0.5,0.75,low
495.0,500.0,6.65,6.5,0.5,0.75,medium
55.1,350.0,6.81,2.5,0.5,0.35,high
211.0,500.0,6.85,5.0,0.75,0.35,high
21.6,179.0,7.43,3.0,0.12,0.15,medium
21.4,220.0,7.15,2.5,0.15,0.3,low
265.1,500.0,6.58,4.5,0.72,0.4,medium
39.6,410.0,6.57,1.0,0.25,0.35,high
29.1,290.0,6.81,2.0,0.65,0.3,medium
42.0,384.0,7.21,3.5,0.45,0.65,high
21.0,169.0,7.52,0.5,0.17,0.25,high
33.0,390.0,7.1,3.0,0.25,0.35,high
196.2,500.0,7.12,4.0,0.5,0.4,medium
29.6,327.0,6.58,4.0,0.5,0.75,medium
19.1,319.0,6.93,4.0,0.4,0.5,high
35.31,180.0,7.55,0.5,0.1,0.16,low
35.31,180.0,7.55,2.5,0.1,0.16,low
255.0,500.0,7.5,2.5,0.12,0.32,low
16.0,225.0,7.52,1.5,0.18,0.25,medium
106.7,500.0,6.42,6.5,0.3,0.3,high
18.0,184.0,6.82,2.0,0.37,0.55,medium
56.0,320.0,7.56,1.5,0.1,0.18,low
16.8,160.0,7.25,1.5,0.17,0.15,low
29.7,190.0,7.45,2.5,0.12,0.15,medium
36.2,288.0,6.62,2.5,0.35,0.25,medium
15.5,156.0,7.29,2.0,0.2,0.15,low
42.0,288.0,7.58,1.5,0.19,0.25,medium
36.8,389.0,6.75,3.0,0.3,0.35,medium
35.4,185.0,7.49,2.5,0.23,0.15,low
72.1,398.0,6.99,5.0,0.5,0.4,high
29.1,320.0,6.99,4.5,0.6,0.75,high
25.9,239.0,7.43,0.5,0.16,0.25,medium
188.0,500.0,6.59,4.5,0.5,0.4,medium
35.6,395.0,6.89,4.0,0.3,0.35,medium
185.9,500.0,7.54,5.0,0.28,0.25,medium
32.9,296.0,7.15,3.5,0.4,0.75,medium
284.8,500.0,6.78,4.0,0.35,0.4,high
116.0,500.0,6.78,3.0,0.5,0.3,medium
57.2,48.3,7.47,4.0,0.4,0.75,medium
320.0,500.0,6.88,4.0,0.5,0.75,high
79.2,500.0,6.63,4.0,0.5,0.5,medium
221.6,500.0,6.78,6.0,0.65,0.4,medium
39.1,399.0,7.07,2.5,0.35,0.45,high
27.2,230.0,7.37,1.0,0.12,0.15,low
22.0,390.0,7.44,1.0,0.19,0.25,medium
32.1,179.0,7.46,2.5,0.15,0.16,low
271.1,500.0,6.78,4.0,0.75,0.35,high
35.2,387.0,7.09,2.5,0.45,0.75,high
81.2,390.0,6.8,2.5,0.72,0.3,high
17.9,159.0,7.21,2.5,0.15,0.3,medium
128.4,500.0,6.72,3.5,0.65,0.35,high
69.5,495.0,6.85,3.5,0.4,0.75,medium
162.3,500.0,6.52,4.5,0.55,0.4,medium
29.1,290.0,6.81,4.0,0.65,0.3,medium
15.2,181.0,7.41,3.0,0.12,0.2,low
139.1,500.0,6.99,3.5,0.4,0.35,high
95.4,238.0,7.53,1.5,0.19,0.25,high
53.1,310.0,6.98,3.0,0.65,0.3,high
20.1,120.0,7.32,1.0,0.1,0.15,low
308.0,500.0,6.99,6.0,0.5,0.75,high
423.0,500.0,6.57,6.5,0.45,0.8,medium
55.0,282.0,7.56,3.5,0.16,0.2,low
21.9,300.0,7.0,3.5,0.25,0.35,low
11.8,500.0,7.7,1.5,0.45,0.55,medium
27.1,320.0,6.71,4.0,0.15,0.35,medium
17.9,265.0,6.76,4.5,0.3,0.35,medium
272.5,500.0,6.92,4.0,0.5,0.75,medium
221.2,500.0,6.58,6.5,0.6,0.3,high
55.0,172.0,7.46,1.5,0.5,0.75,low
31.0,460.0,7.5,2.5,0.17,0.25,low
16.8,210.0,7.48,1.0,0.27,0.3,low
162.5,500.0,6.85,5.5,0.5,0.75,medium
57.5,195.0,7.47,2.5,0.2,0.25,low
31.6,206.0,6.82,2.5,0.5,0.3,medium
40.6,500.0,6.89,3.5,0.4,0.75,high
484.0,500.0,6.62,7.5,0.5,0.75,medium
19.6,206.0,6.77,3.5,0.75,0.3,low
88.1,210.0,6.9,2.0,0.4,0.3,medium
219.0,500.0,6.81,3.5,0.8,0.35,high
49.5,119.0,7.09,2.5,0.37,0.65,high
32.6,389.0,7.12,3.5,0.5,0.65,medium
492.0,500.0,7.0,4.0,0.45,0.75,high
211.0,500.0,6.85,4.0,0.75,0.35,high
16.9,210.0,7.08,2.5,0.75,0.35,low
10.0,157.0,7.44,0.4,0.12,0.1,high
57.2,48.3,7.47,3.0,0.4,0.75,medium
29.1,350.0,6.81,2.0,0.5,0.3,medium
200.0,500.0,6.85,2.0,0.5,0.35,high
58.2,400.0,7.25,1.0,0.11,0.15,low
17.5,273.0,6.76,3.5,0.6,0.75,medium
38.3,282.0,6.62,3.5,0.5,0.4,medium
219.0,500.0,6.81,5.0,0.8,0.35,high
79.3,355.0,6.55,4.0,0.4,0.45,high
71.2,436.0,6.8,3.5,0.35,0.35,medium
110.1,398.0,6.99,2.5,0.8,0.4,high
41.2,412.0,6.66,3.5,0.5,0.25,medium
450.0,500.0,6.9,4.5,0.52,0.75,high
45.1,500.0,7.65,1.5,0.12,0.12,low
135.4,300.0,7.59,2.5,0.22,0.3,high
89.3,500.0,6.58,3.5,0.4,0.2,medium
20.8,289.0,6.89,3.5,0.15,0.3,medium
197.5,300.0,7.47,2.0,0.17,0.25,high
40.1,235.0,6.75,2.5,0.4,0.35,low
10.9,189.0,8.7,3.0,0.08,0.1,low
29.7,190.0,7.42,2.0,0.15,0.2,low
18.5,221.0,7.55,1.5,0.12,0.1,high
210.8,500.0,6.82,6.0,0.5,0.3,high
33.3,61.0,7.03,2.5,0.9,0.35,high
45.7,315.0,6.95,4.0,0.3,0.3,high
84.8,33.0,6.79,3.5,0.35,0.4,medium
19.1,289.0,6.82,3.0,0.6,0.75,low
52.6,397.0,6.61,5.0,0.75,0.35,medium
29.2,364.0,6.92,3.0,0.4,0.75,medium
59.5,49.0,7.11,3.0,0.4,0.55,high
45.7,315.0,6.95,1.5,0.3,0.3,medium
6.77,102.0,8.45,0.2,0.11,0.15,low
42.1,300.0,6.91,4.5,0.4,0.35,high
22.35,100.0,7.42,1.0,0.2,0.2,low
58.61,92.0,7.61,0.5,0.1,0.12,low
24.1,279.0,6.33,3.0,0.5,0.75,medium
69.5,495.0,6.85,2.5,0.4,0.75,low
12.6,146.0,7.56,0.5,0.15,0.1,medium
51.0,45.0,6.95,2.5,0.4,0.35,high
24.1,278.0,6.53,2.5,0.5,0.75,medium
29.2,364.0,6.92,4.5,0.4,0.75,high
497.0,500.0,6.69,5.0,0.47,0.8,high
85.0,49.0,6.51,4.0,0.2,0.35,low
30.1,300.0,6.9,4.5,0.5,0.5,high
19.2,329.0,6.81,3.0,0.55,0.65,low
195.5,300.0,7.49,3.5,0.17,0.25,medium
27.1,199.0,7.55,1.5,0.22,0.2,medium
27.1,159.0,7.45,2.0,0.11,0.25,low
8.0,135.0,7.5,0.8,0.12,0.15,low
79.1,500.0,6.97,4.0,0.65,0.35,medium
76.2,387.0,7.12,4.0,0.4,0.2,medium
42.4,190.0,7.67,3.0,0.27,0.3,medium
28.2,189.0,7.38,3.5,0.27,0.35,medium
96.2,500.0,7.48,3.0,0.3,0.35,high
59.6,348.0,6.82,3.0,0.7,0.5,medium
29.5,195.0,7.51,3.5,0.2,0.15,low
43.5,500.0,6.31,4.0,0.42,0.75,low
25.7,202.0,7.45,2.0,0.22,0.3,low
23.6,252.0,7.55,0.5,0.8,2.0,medium
11.2,500.0,6.89,5.0,0.75,0.45,medium
10.0,150.0,7.55,1.5,0.08,0.1,low
48.0,200.0,7.51,0.5,0.2,0.21,low
156.0,500.0,7.07,5.5,0.45,0.65,medium
123.0,89.0,7.12,6.0,0.65,0.35,high
223.0,500.0,6.89,2.5,0.35,0.75,high
91.2,500.0,6.65,4.0,0.85,0.25,medium
35.4,187.0,7.49,1.5,0.22,0.3,low
27.1,199.0,7.55,0.5,0.22,0.2,medium
56.7,500.0,6.64,3.5,0.35,0.4,low
26.3,180.0,8.12,0.35,0.15,0.25,high
68.9,500.0,6.71,2.5,0.25,0.4,high
38.6,382.0,6.65,3.5,0.5,0.4,medium
84.8,33.0,6.79,3.0,0.35,0.4,low
50.1,398.0,6.52,3.5,0.5,0.35,high
43.1,438.0,6.64,5.0,0.6,0.35,low
29.1,320.0,7.15,2.5,0.4,0.65,medium
19.9,210.0,7.89,1.5,0.17,0.25,low
46.2,160.0,7.56,2.5,0.17,0.22,low
67.2,500.0,6.76,4.5,0.25,0.4,medium
14.3,190.0,7.5,2.0,0.17,0.25,low
491.0,500.0,7.26,4.5,0.4,0.75,high
28.5,225.0,7.49,0.2,0.75,1.5,low
168.0,500.0,7.45,2.0,0.3,0.35,low
69.1,210.0,6.91,4.5,0.5,0.3,high
458.0,500.0,6.85,3.5,0.5,0.6,medium
26.2,320.0,6.85,2.5,0.15,0.3,medium
80.61,500.0,7.45,1.5,0.12,0.16,low
32.6,289.0,6.75,3.0,0.6,0.25,medium
27.2,420.0,6.99,3.5,0.42,0.6,low
38.6,382.0,6.65,5.5,0.5,0.4,high
29.2,148.0,6.96,3.5,0.37,0.5,medium
210.0,500.0,6.88,3.5,0.25,0.55,medium
79.5,493.0,7.52,6.5,0.4,0.75,medium
14.21,156.0,7.54,0.6,0.09,0.1,medium
25.9,221.0,7.49,0.5,0.19,0.25,medium
35.4,185.0,7.49,4.0,0.23,0.15,low
460.0,500.0,6.99,6.0,0.51,0.75,high
22.7,160.0,7.38,0.5,0.11,0.2,low
35.4,500.0,7.41,0.2,0.8,2.0,low
21.7,286.0,6.61,4.0,0.5,0.75,medium
93.0,429.0,7.0,2.5,0.2,0.35,high
19.5,176.0,7.42,2.5,0.11,0.15,medium
51.0,189.0,6.59,4.5,0.5,0.35,high
128.0,200.0,7.52,3.0,0.19,0.25,low
29.2,148.0,6.96,3.0,0.37,0.5,high
6.9,162.0,7.51,1.2,0.17,0.25,low
209.8,500.0,6.89,3.0,0.5,0.4,high
168.0,500.0,7.05,5.5,0.4,0.75,high
49.0,415.0,6.89,5.0,0.42,0.6,high
19.7,325.0,6.89,4.0,0.35,0.5,low
